	r	lambdaC	n_comp	n_cluster	n_nns	kARI_WH	kARI_WH_S	kARI_raw	kARI_1-raw	kARI_1-so	kNMI_WH	kNMI_WH_S	kNMI_raw	kNMI_1-raw	kNMI_1-so	lARI_WH	lARI_WH_S	lARI_raw	lARI_1-raw	lARI_1-so	lNMI_WH	lNMI_WH_S	lNMI_raw	lNMI_1-raw	lNMI_1-so
0	8.0	1.0	50.0	8.0	50.0	0.021800563615964726	-0.0015780093351665866	0.02470537229183353	-0.0029048086758688037	0.023378572951131313	0.1279688184867348	0.02327536889884899	0.21108225626679028	-0.08311343778005548	0.10469344958788582	0.2908947539246297	0.14960019815819797	0.24583738959304421	0.0450573643315855	0.14129455576643174	0.49131851842243207	0.332297924585585	0.46828881903239483	0.02302969939003724	0.15902059383684708
1	8.0	1.0	50.0	8.0	50.0	0.034921708917227304	0.04185123781373784	0.006404832475079722	0.028516876442147582	-0.006929528896510537	0.16194201889206417	0.17692362243592674	0.04777831450670292	0.11416370438536125	-0.014981603543862576	0.32615059977652316	0.1947819515123711	0.19475934188011518	0.131391257896408	0.13136864826415207	0.500876718851742	0.41100894918179426	0.40610620129793185	0.09477051755381016	0.08986776966994775
2	8.0	1.0	50.0	8.0	50.0	-0.000800646046976915	0.04646162127606988	0.022033615396717623	-0.022834261443694538	-0.047262267323046794	0.03560899945412061	0.16873203337365927	0.09733618594023544	-0.061727186486114825	-0.13312303391953867	0.34506904304177033	0.2019623639101437	0.17133499481603517	0.17373404822573515	0.14310667913162664	0.5132587109163813	0.4088049502756603	0.38334839392044245	0.12991031699593886	0.10445376064072104
3	8.0	1.0	50.0	8.0	50.0	0.013533221303088117	0.02210658382864945	0.013814839182418411	-0.000281617879330294	-0.008573362525561333	0.13091243580946704	0.06605900878437357	0.08249908805002851	0.048413347759438535	0.06485342702509347	0.2025854955702117	0.23648593241875523	0.2103264274202422	-0.007740931850030525	-0.03390043684854355	0.4087163021285887	0.4569619081206733	0.42060145728852677	-0.011885155159938043	-0.04824560599208455
4	8.0	1.0	50.0	8.0	50.0	-0.017087444358482577	0.011068453842790473	0.04499336531136963	-0.06208080966985221	-0.028155898201273052	0.05061926516012658	0.11601615011296271	0.17657591857176216	-0.1259566534116356	-0.06539688495283613	0.33631885946335105	0.348535239618763	0.2407643547947931	0.09555450466855794	-0.012216380155411932	0.5240010196735326	0.5268377282919412	0.4543800352645408	0.06962098440899184	-0.0028367086184085677
5	8.0	1.0	50.0	8.0	50.0	0.037069072304371835	0.021425199851832073	0.009230081373132672	0.027838990931239163	0.015643872452539762	0.15888889049575075	0.11046300034012961	0.11732600606208522	0.04156288443366553	0.04842589015562114	0.20093544602488675	0.23455344647190285	0.21018686278374982	-0.009251416758863068	-0.0336180004470161	0.41082374905297836	0.4500978853525352	0.427694141047479	-0.016870391994500633	-0.03927413629955684
6	8.0	1.0	50.0	8.0	50.0	0.030755130088280316	0.0184604758270995	-0.002549105523415169	0.03330423561169549	0.012294654261180815	0.144732395135643	0.08618445755301807	0.041103844759095585	0.10362855037654742	0.05854793758262494	0.22197999020571352	0.1481659913651075	0.24307110500889134	-0.021091114803177824	0.07381399884060602	0.42855569798254795	0.33591058998486695	0.4538131372351932	-0.02525743925264523	0.092645107997681
7	8.0	1.0	50.0	8.0	50.0	0.03471261794006256	0.020690466449709316	0.013387322089179848	0.02132529585088271	0.01402215149035324	0.13555157192927897	0.10622081557379605	0.06811431177226973	0.06743726015700924	0.02933075635548292	0.21038394158379548	0.2793627399427433	0.2231648059676568	-0.012780864383861334	-0.06897879835894782	0.41452801225546665	0.47856556797521027	0.4353967429077959	-0.020868730652329248	-0.06403755571974362
8	8.0	1.0	50.0	8.0	50.0	0.029289707401782612	0.03492129438306443	0.01619197336622461	0.013097734035558	-0.005631586981281821	0.13994076251518411	0.14516117364842177	0.1419813298166881	-0.0020405673015039816	-0.005220411133237651	0.24331366889113776	0.20895012198926063	0.20973512701616293	0.03357854187497483	0.03436354690187712	0.4421197540716309	0.4014040932106676	0.43491542848798764	0.007204325583643256	0.04071566086096329
9	8.0	1.0	50.0	8.0	50.0	0.03289396927843881	0.03404782552187582	0.015333257273854687	0.017560712004584124	-0.0011538562434370084	0.11517067407697915	0.09954552034191382	0.0716334476392209	0.043537226437758245	0.01562515373506533	0.21233826576476322	0.23545896509794284	0.285495814470609	-0.07315754870584579	-0.023120699333179617	0.43428991011306456	0.44701932583792714	0.4650890357272469	-0.030799125614182354	-0.01272941572486258
